Carnet,Nota
199910871,18
200722421,6
200910790,-2
200915940,-2
200916076,13
200916276,8
200918238,-2
200918252,-2
201013444,14
201013474,11
201013480,16
201013517,10
201021759,13
201025011,-2
201110186,7
201112052,16
201117060,6
201119733,14
201210074,14
201210540,-2
201210639,10
201210711,13
201210758,11
201210764,-2
201210779,13
201210858,16
201210909,7
201220014,-1
201220325,-2
201220380,8
201310142,-2
201310526,9
201310529,17
201310538,15
201310569,-2
201310602,11
201310629,19
201310639,8
201310640,17
201310644,17
201310645,16
201310673,8
201310674,-2
201310691,-2
201310709,-2
201310710,-2
201310715,12
201315049,21
201315397,13
201318161,11
201318166,19
201318180,14
201318183,-2
201318186,12
201318227,-2
201318281,16
201318304,7
201321726,8
201321738,18
201321745,-2
201321802,14
201321804,14
201322312,9
201330970,14
201345055,0
201400364,10
201400366,8
201400370,10
201400397,13
201400427,-2
201400434,7
201400438,16
201400440,10
201400441,14
201400459,12
201400460,8
201400485,14
201400525,-2
201400528,12
201400562,8
201400600,7
201400673,22
201400683,10
201400700,-2
201400715,12
201407914,21
201407923,-2
201407927,5
201407941,-2
201407942,5
201407943,14
201407959,-1
201407980,-2
201407992,15
201408040,13
201408058,14
201408066,16
201408087,11
201408184,17
201408248,14
201411974,16
201413715,21
201480044,8
201502799,20
201502800,-1
201502802,16
201502807,16
201502816,19
201502824,16
201502826,16
201502840,21
201502842,17
201502862,17
201502869,22
201502877,20
201502878,5
201502882,14
201502884,13
201502891,10
201502907,14
201502908,14
201502915,16
201502927,13
201502931,14
201502934,23
201502936,5
201502954,17
201502976,21
201502979,12
201502990,19
201502993,20
201503001,21
201503005,14
201503007,26
201503033,-1
201503040,15
201503041,13
201503043,17
201503044,18
201503051,17
201503073,5
201503078,23
201503080,8
201503095,20
201503098,17
201503099,16
201503146,0
201503184,21
201503209,-2
201503236,13
201503250,14
201503263,16
201503265,21
201503267,-2
201503293,13
201503294,14
201503324,16
201503339,17
201513228,19
201513247,9
201513248,9
201513275,16
201513276,14
201513286,9
201513315,17
201513331,17
201513338,9
201513411,14
201513487,20
201513551,20
201513561,19
201516923,15
201580020,17
201580036,16
201580037,26
