carnet,nota 
8411638,9
200610588,10
200715722,14
200715751,12
200715754,12
200817535,10
200880004,6
200915860,5
200915864,18
200915915,11
200915942,16
200916250,14
201012065,19
201013493,8
201013765,15
201018707,13
201021787,12
201112046,20
201112080,13
201112161,20
201112204,16
201112232,15
201112270,19
201112319,17
201124083,18
201210562,14
201210655,8
201210672,14
201210729,14
201210900,18
201210904,16
201220212,13
201220309,7
201280026,23
201310522,15
201310541,19
201310551,17
201310568,25
201310575,14
201310596,10
201310614,15
201310682,24
201310688,23
201318284,16
201318347,11
201321740,20
201380027,21
